Official (scientific) name,Common name
Steatoda grossa,
Stegnosperma halimifolium,
Sterna hirundo,
Stereum hirsutum (strain FP-91666),
Stenopus hispidus,
Stercorarius longicaudus,
Stenella longirostris,
Stellaria longipes,
Stenotrophomonas maltophilia,
Stercorarius maccormicki,
Stellaria media,
Stegodyphus mimosarum,
Sterechinus neumayeri,
Steatomys parvus,
Sterna paradisaea,
Stegobium paniceum,
Stercorarius pomarinus,
Stercorarius parasiticus,
Stewartia pseudocamellia,
Stethorus punctillum,
Stenoderma rufum,
Stelgidopteryx serripennis,
Steiractinia sodiroi,
Steatoda triangulosa,
Stenomelania uniformis,
St. louis encephalitis virus (strain MS1-7),
Sthenopis argenteomaculatus,
Sthenelais boa,
Sthenoteuthis oualaniensis,
Stigmatella aurantiaca (strain DW4/3-1),
Stigmatella aurantiaca,
Stipellula capensis,
Stichopus chloronotus,
Stichodactyla gigantea,
Stichodactyla haddoni,
Stigeoclonium helveticum,
Stichodactyla helianthus,
Stigmatoteuthis hoylei,
Stichopus hermanni,
Stichopus japonicus,
Stichodactyla mertensii,
Stichopus monotuberculatus,
Stigmochelys pardalis,
Stigmatomma pallipes,
Stipagrostis plumosa,
Stipa papposa,
Stictoleptura rubra,
Stictocephala taurina,
Satellite tobacco necrosis virus 1,
Satellite tobacco necrosis virus 2,
Stomoxys calcitrans,
Stomphia coccinea,
Stokesia laevis,
Stochomys longicaudatus,
Stomolophus meleagris,
Stomopneutes variolaris,
Streptomyces albofaciens,
Streptococcus agalactiae serotype Ia (strain ATCC 27591 / A909 / CDC SS700),
Streptococcus agalactiae serotype Ia (strain GD201008-001),
Streptococcus agalactiae serotype III (strain NEM316),
Streptomyces albus (strain ATCC 21838 / DSM 41398 / FERM P-419 / JCM 4703 / NBRC 107858),
Streptococcus agalactiae serotype V (strain ATCC BAA-611 / 2603 V/R),
Streptococcus agalactiae serotype III (strain COH1),
Streptomyces ambofaciens (strain ATCC 23877 / 3486 / DSM 40053 / JCM 4204 / NBRC 12836 / NRRL B-2516),
Streptococcus agalactiae (strain ATCC 13813 / DSM 2134 / JCM 5671 / NCIMB 701348 / NCTC 8181),
Streptomyces argillaceus,
Strix aluco,
Streptomyces acrimycini,
Streptomyces alboniger,
Streptomyces arenae,
Striga asiatica,
Streptococcus agalactiae,
Streptomyces achromogenes,
Streptococcus acidominimus,
Streptomyces azureus,
Streptomyces akiyoshiensis,
Streptomyces albus G,
Streptomyces ambofaciens,
Streptomyces antifibrinolyticus,
Streptomyces albogriseolus,
Streptococcus anginosus,
Streptomyces anulatus,
Streptomyces atratus,
Streptomyces actuosus,
Streptomyces antibioticus,
Streptococcus agalactiae (strain FSL S3-026),
Streptomyces avidinii,
Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680),
Streptomyces avermitilis,
Streptococcus alactolyticus,
Streptomyces atroolivaceus,
Streptomyces badius,
Streptomyces bingchenggensis (strain BCW-1),
Streblospio benedicti,
Streptomyces bikiniensis,
Strix butleri,
Streptomyces peucetius subsp. caesius,
Streptomyces sp. (strain CL190),
Streptomyces achromogenes subsp. streptozoticus,
Streptomyces collinus (strain DSM 40733 / Tue 365),
Streptomyces coeruleorubidus,
Struthio camelus,
Streptococcus canis,
Streptomyces carbophilus,
Streptomyces coerulescens,
Streptomyces cellulosae,
Stromatopelma calceatum,
Streptococcus criceti,
Streptomyces coelicolor,
Streptomyces cacaoi,
Streptomyces cinnamoneus,
Streptomyces corchorusii,
Streptomyces clavuligerus,
Streptomyces cremeus,
Streptomyces cyaneus,
Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),
Streptomyces cyslabdanicus,
Streptopelia capicola,
Streptococcus cristatus,
Streptomyces caespitosus,
Streptantibioticus cattleyicolor,
Streptomyces collinus,
Streptococcus constellatus,
Streptomyces chromofuscus,
Streptomyces chartreusis,
Streptomyces cyanogenus,
Streptomyces carzinostaticus,
Streptomyces sp. (strain D7),
Streptomyces diastatochromogenes,
Streptopelia decaocto,
Streptococcus dysgalactiae subsp. equisimilis (strain GGS_124),
Streptomyces diastaticus,
Streptomyces davaonensis (strain DSM 101723 / JCM 4913 / KCC S-0913 / 768),
Streptococcus downei,
Strongylocentrotus droebachiensis,
Streptococcus dysgalactiae,
Streptomyces pristinaespiralis (strain ATCC 25486 / DSM 40338 / CBS 914.69 / JCM 4507 / NBRC 13074 / NRRL 2958 / 5647),
Streptococcus equi subsp. equi (strain 4047),
Streptococcus salivarius (strain 57.I),
Streptococcus salivarius (strain JIM8777),
Streptococcus suis (strain 89/1591),
Strongyloides papillosus,
Streblospio shrubsolii,
Streptococcus equi subsp. zooepidemicus (strain ATCC 35246 / C74-63),
Streptococcus dysgalactiae subsp. equisimilis (strain ATCC 12394 / D166B),
Streptococcus pneumoniae,
Streptomyces purpurascens,
Streptomyces sahachiroi,
Streptococcus salivarius (strain CCHSS3),
Streptococcus equinus,
Streptococcus suis (strain JS14),
Streptomyces sp. (strain SirexAA-E / ActE),
Streptococcus equi subsp. zooepidemicus (strain MGCS10565),
Streptantibioticus cattleyicolor (strain ATCC 35852 / DSM 46488 / JCM 4925 / NBRC 14057 / NRRL 8057),
Streptomyces sp. (strain KO-3988),
Streptococcus parasanguinis (strain ATCC 15912 / DSM 6778 / CIP 104372 / LMG 14537),
Streptococcus dysgalactiae subsp. equisimilis,
Streptococcus pseudopneumoniae (strain IS7493),
Streptococcus pneumoniae (strain ST556),
Streptomyces eurocidicus,
Streptomyces exfoliatus,
Streptomyces paromomycinus,
Streptomyces pratensis (strain ATCC 33331 / IAF-45CD),
Streptomyces fimbriatus,
Streptomyces filamentosus,
Streptomyces fradiae,
Streptococcus gallolyticus (strain ATCC 43143 / F-1867),
Streptococcus gallolyticus (strain ATCC BAA-2069),
Streptococcus gallolyticus (strain UCN34),
Streptomyces glaucescens,
Streptomyces galbus,
Streptococcus gordonii (strain Challis / ATCC 35105 / BCRC 15272 / CH1 / DL1 / V288),
Streptomyces griseoviridis,
Striga gesnerioides,
Stromatopelma calceatum griseipes,
Streptomyces griseus subsp. griseus (strain JCM 4626 / NBRC 13350),
Streptanthus glandulosus,
Streptomyces griseoincarnatus,
Streptomyces galilaeus,
Strongylopus grayii,
Streptomyces globisporus,
Streptococcus gordonii,
Streptomyces griseolus,
Streptomyces griseoluteus,
Streptomyces griseus,
Streptomyces griseosporeus,
Streptomyces granaticolor,
Streptomyces griseoverticillatus,
Streptomyces sp. (strain R2075),
Streptococcus gallolyticus,
Streptococcus suis (strain GZ1),
Streptomyces halstedii,
Striga hermonthica,
Streptoalloteichus hindustanus,
Streptomyces hygroscopicus subsp. jinggangensis (strain 5008),
Streptomyces hygroscopicus subsp. limoneus,
Streptomyces hygroscopicus,
Streptococcus infantarius (strain CJ18),
Strongylocentrotus intermedius,
Streptomyces inhibens,
Streptococcus intermedius (strain JTH08),
Streptococcus iniae,
Streptococcus intermedius (strain ATCC 27335 / DSM 20573 / CCUG 32759 / CIP 103248 / JCM 12996 / LMG 17840 / NCTC 11324 / SK54 / 1877),
Streptococcus intermedius,
Streptacidiphilus jiangxiensis,
Streptomyces jumonjinensis,
Streptomyces sp. (strain K30),
Streptomyces kasugaensis,
Streptomyces kanamyceticus,
Streptomyces lavendulae,
Streptopus lanceolatus,
Strix leptogrammica,
Streptomyces lividans,
Streptomyces limosus,
Streptomyces lincolnensis,
Streptomyces longisporus,
Streptomyces luridus,
Streptomyces lasalocidi,
Streptomyces luteoverticillatus,
Streptomyces laurentii,
Streptomyces lividus,
Streptomyces muensis,
Stenotrophomonas maltophilia (strain R551-3),
Streptococcus mitis (strain B6),
Streptobacillus moniliformis (strain ATCC 14647 / DSM 12112 / NCTC 10651 / 9901),
Streptomyces macromomyceticus,
Streptomyces mobaraensis,
Streptococcus macedonicus,
Streptococcus macedonicus (strain ACA-DC 198),
Strophosoma melanogrammum,
Strymon melinus,
Streptococcus mutans,
Strongylura marina,
Streptomyces microflavus,
Streptomyces melanosporofaciens,
Stenotrophomonas maltophilia (strain K279a),
Streptomyces malayensis,
Strigamia maritima,
Streptococcus mutans serotype c (strain NN2025),
Streptomyces morookaense,
Saccharothrix mutabilis subsp. capreolus,
Streptomyces malaysiensis,
Streptomyces murinus,
Strongylodon macrobotrys,
Streptococcus mitis,
Streptococcus mutans serotype c (strain ATCC 700610 / UA159),
Streptomyces mycarofaciens,
Strix nebulosa,
Streptomyces netropsis,
Streptanthus niger,
Streptomyces nigrescens,
Streptomyces nogalater,
Streptomyces noursei,
Streptomyces nodosus subsp. asukaensis,
Strongylura notata,
Streptomyces niveus,
Strychnos nux-vomica,
Strix occidentalis,
Streptopelia orientalis,
Streptomyces olivaceoviridis,
Streptomyces olivochromogenes,
Streptomyces orinoci,
Strigomonas oncopelti,
Streptococcus oralis,
Streptococcus oralis (strain Uo5),
Streptomyces olivaceus,
Streptococcus pneumoniae serotype A19 (strain TCH8431),
Streptococcus pyogenes serotype M1,
Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),
Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315),
Streptococcus pneumoniae serotype 19F (strain G54),
Streptococcus pyogenes serotype M5,
Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394),
Streptococcus pneumoniae (strain 70585),
Streptococcus pyogenes serotype M18 (strain MGAS8232),
Streptococcus pyogenes serotype M49,
Streptococcus parasanguinis,
Streptococcus pyogenes serotype M12 (strain MGAS2096),
Streptococcus pyogenes serotype M12 (strain MGAS9429),
Streptococcus pyogenes serotype M2 (strain MGAS10270),
Streptomyces peucetius,
Streptococcus pyogenes serotype M4 (strain MGAS10750),
Streptococcus pyogenes serotype M5 (strain Manfredo),
Streptomyces phaeochromogenes,
Streptococcus pneumoniae (strain Hungary19A-6),
Streptococcus pneumoniae (strain ATCC 700669 / Spain 23F-1),
Strongylocentrotus pallidus,
Streptomyces plicatus,
Streptococcus pyogenes serotype M28 (strain MGAS6180),
Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),
Streptococcus porcinus,
Strongylocentrotus polyacanthus,
Streptococcus pyogenes serotype M3 (strain SSI-1),
Streptomyces pristinaespiralis,
Streptococcus pneumoniae (strain CGSP14),
Streptomyces platensis,
Strongylocentrotus purpuratus,
Streptococcus pyogenes serotype M1 (strain ATCC BAA-947 / MGAS5005),
Streptococcus parauberis (strain KCTC 11537),
Streptococcus pasteurianus (strain ATCC 43144 / JCM 5346 / CDC 1723-81),
Streptococcus pyogenes,
Streptococcus pyogenes serotype M49 (strain NZ131),
Streptomyces rimosus subsp. rimosus (strain ATCC 10970 / DSM 40260 / JCM 4667 / NRRL 2234),
Streptomyces rubellomurinus (strain ATCC 31215),
Streptococcus pneumoniae (strain ATCC BAA-255 / R6),
Streptomyces ramocissimus,
Strongyloides ratti,
Streptomyces roseochromogenus subsp. oscitans,
Streptosporangium roseum (strain ATCC 12428 / DSM 43021 / JCM 3005 / NI 9100),
Streptomyces reticuli,
Strix rufipes,
Streptomyces rugosporus,
Streptomyces rishiriensis,
Streptomyces ribosidificus,
Streptomyces rimosus,
Streptomyces rapamycinicus (strain ATCC 29253 / DSM 41530 / NRRL 5491 / AYB-994),
Streptomyces rochei,
Streptomyces rubradiris,
Streptosporangium roseum,
Streptococcus ratti,
Streptomyces rubiginosus,
Streptomyces sp. (strain SA-COO),
Streptococcus sp. (strain 19909),
Streptococcus suis (strain 98HAH33),
Streptomyces sp. (strain SPB78),
Streptococcus suis (strain BM407),
Streptomyces sp. (strain C5),
Streptomyces sp. (strain A647P-2),
Streptococcus equi subsp. zooepidemicus (strain H70),
Streptomyces sp. (strain NCL 82-5-1),
Streptomyces sp. (strain SP9440),
Streptococcus sanguinis,
Streptomyces sp. (strain KB210-8SY),
Streptomyces scabiei,
Streptoalloteichus tenebrarius (strain ATCC 17920 / DSM 40477 / JCM 4838 / CBS 697.72 / NBRC 16175 / NCIMB 11028 / NRRL B-12390 / A12253. 1),
Streptococcus suis (strain P1/7),
Streptomyces sp. (strain FRI-5),
Streptococcus sp. group G,
Streptomyces sp. (strain SPB074),
Streptomyces sp. (strain IKD472 / FERM P-14339),
Streptosporangium sibiricum,
Streptomyces sp. (strain K15),
Streptococcus salivarius,
Streptomyces sp. (strain PMF),
Streptomyces sp. (strain N174),
Streptomyces seoulensis,
Streptococcus sp.,
Streptomyces sp.,
Streptomyces sp. (strain R61),
Streptomyces sp. (strain KSM-9),
Streptomyces spectabilis,
Streptococcus suis,
Streptococcus sanguinis (strain SK36),
Streptomyces scabiei (strain 87.22),
Streptococcus suis (strain SC84),
Streptococcus suis (strain 05ZYH33),
Streptococcus equi subsp. zooepidemicus,
Streptococcus thermophilus (strain CNRZ 1066),
Streptococcus thermophilus (strain ATCC BAA-250 / LMG 18311),
Streptomyces toxytricini,
Streptomyces tsukubensis (strain DSM 42081 / NBRC 108919 / NRRL 18488 / 9993),
Streptomyces tacrolimicus,
Strobilurus tenacellus,
Streptococcus thermophilus (strain ATCC BAA-491 / LMD-9),
Streptomyces tendae,
Streptomyces thermotolerans,
Streptomyces triostinicus,
Streptomyces thermoviolaceus,
Streptomyces thermocyaneoviolaceus,
Streptococcus thermophilus (strain ND03),
Streptomyces toyocaensis,
Streptococcus thermophilus,
Streptomyces thioluteus,
Streptococcus uberis (strain ATCC BAA-854 / 0140J),
Streptococcus uberis,
Strix uralensis,
Struthiopteris spicant,
Streptomyces viridosporus (strain ATCC 14672 / DSM 40746 / JCM 4963 / KCTC 9882 / NRRL B-12104 / FH 1290),
Streptomyces violaceusniger (strain Tu 4113),
Strix varia,
Streptomyces violens,
Strix virgata,
Streptomyces viridosporus,
Streptococcus vestibularis,
Streptomyces viridifaciens,
Streptomyces virginiae,
Streptomyces vinaceus,
Streptomyces violaceus,
Streptomyces violaceoruber,
Streptomyces violaceusniger,
Streptomyces venezuelae (strain ATCC 10712 / CBS 650.69 / DSM 40230 / JCM 4526 / NBRC 13096 / PD 04745),
Streptomyces viridochromogenes,
Streptomyces viridochromogenes (strain DSM 40736 / JCM 4977 / BCRC 1201 / Tue 494),
Strongylus vulgaris,
Streptomyces venezuelae,
Streptomyces wedmorensis,
Strix woodfordii,
Streptomyces sp. (strain CB03234),
Streptomyces sviceus (strain ATCC 29083 / DSM 924 / JCM 4929 / NBRC 13980 / NCIMB 11184 / NRRL 5439 / UC 5370),
Streptomyces sviceus,
Streptococcus pneumoniae (strain 670-6B),
Streptococcus pneumoniae (strain AP200),
Streptococcus pneumoniae serotype 1 (strain INV104),
Streptococcus pneumoniae (strain JJA),
Streptococcus pneumoniae serotype 14 (strain INV200),
Streptococcus pneumoniae serotype 3 (strain OXC141),
Streptococcus pneumoniae (strain P1031),
Streptoprocne zonaris,
Streptococcus pneumoniae (strain Taiwan19F-14),
Sturnira aratathomasi,
Sturnira bidens,
Sturnira bogotensis,
Stutzerimonas chloritidismutans,
Sturnus cineraceus,
Sturnira erythromos,
Sturnira lilium,
Sturnira luisi,
Sturnira ludovici,
Sturnella magna,
Sturnira magna,
Sturnira mordax,
Sturnira nana,
Sturnella neglecta,
Sturnira oporaphilum,
Stutzerimonas stutzeri (strain A1501),
Stutzerimonas stutzeri (strain ATCC 17588 / DSM 5190 / CCUG 11256 / JCM 5965 / LMG 11199 / NBRC 14165 / NCIMB 11358 / Stanier 221),
Stutzerimonas stutzeri (strain DSM 4166 / CMT.9.A),
Stutzerimonas stutzeri,
Sturnira tildae,
Stylogomphus albistylus,
Stylonema alsidii,
Styela clava,
Stylophorum diphyllum,
Stylosanthes hamata,
Stylosanthes humilis,
Styrax japonicus,
Styphnolobium japonicum,
Stygiocaris lancifera,
Stylocheilus longicauda,
Styela montereyensis,
Styrax officinalis,
Stylophora pistillata,
Styela plicata,
Stylonychia pustulata,
Stylobasium spathulatum,
Stygiocaris stylifera,
Stylochus zebra,
Suaeda maritima,
Succinatimonas hippei (strain DSM 22608 / JCM 16073 / KCTC 15190 / YIT 12066),
Sufflamen chrysopterum,
Sufflamen fraenatum,
Suillus bovinus,
Suillus grevillei,
Sulfurihydrogenibium azorense (strain Az-Fu1 / DSM 15241 / OCM 825),
Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770),
Sulfobacillus acidophilus (strain ATCC 700253 / DSM 10332 / NAL),
Sulfurimonas autotrophica (strain ATCC BAA-671 / DSM 16294 / JCM 11897 / OK10),
Sulfobacillus acidophilus (strain TPY),
Sulfurospirillum barnesii (strain ATCC 700032 / DSM 10660 / SES-3),
Sulfidibacter corallicola,
Sulfurospirillum deleyianum (strain ATCC 51133 / DSM 6946 / 5175),
Sula dactylatra,
Sulfurospirillum deleyianum,
Sulfurimonas denitrificans (strain ATCC 33889 / DSM 1251),
Sulfuricella denitrificans (strain DSM 22764 / NBRC 105220 / skB26),
Sulfurimonas gotlandica (strain DSM 19862 / JCM 16533 / GD1),
Sulfolobus islandicus (strain M.16.27),
Sulfolobus islandicus (strain L.D.8.5 / Lassen #2),
Sulfolobus islandicus (strain HVE10/4),
Sulfolobus islandicus (strain M.16.4 / Kamchatka #3),
Sulfolobus islandicus (strain L.S.2.15 / Lassen #1),
Sulfolobus islandicus (strain M.14.25 / Kamchatka #1),
Sulfolobus islandicus (strain Y.N.15.51 / Yellowstone #2),
Sulfolobus islandicus (strain REY15A),
Sulfolobus islandicus,
Sulfolobus islandicus (strain U.3.28 / Kamchatka #4),
Sulfolobus islandicus (strain Y.G.57.14 / Yellowstone #1),
Sulfuricurvum kujiense (strain ATCC BAA-921 / DSM 16994 / JCM 11577 / YK-1),
Sula leucogaster,
Sulfuracidifex metallicus,
Sulfurospirillum multivorans (strain DM 12446 / JCM 15788 / NBRC 109480),
Sulfurospirillum multivorans,
Sulfurovum sp. (strain NBC37-1),
Sula nebouxii,
Sulfurisphaera ohwakuensis,
Sula sula,
Sulfitobacter sp. (strain NAS-14.1),
Sulfolobus sp.,
Sulfolobus sp. (strain RC3),
Sullivantia sullivantii,
Sulfurihydrogenibium sp. (strain YO3AOP1),
Sulfoacidibacillus thermotolerans,
Sulfobacillus thermosulfidooxidans (strain DSM 9293 / VKM B-1269 / AT-1),
Sulfobacillus thermosulfidooxidans,
Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7),
Sulfophobococcus zilligii,
Sumerlaea chitinivorans,
Sugarcane mosaic virus (strain SC),
Sundacarpus amarus,
Sundasciurus brookei,
Suncus etruscus,
Sundamys muelleri,
Suncus megalura,
Suncus murinus,
Sundasciurus philippinensis,
Suncus stoliczkanus,
Supella longipalpa,
Suriana maritima,
Suregada multiflora,
Surnia ulula,
Sus barbatus,
Sus cebifrons,
Sus celebensis,
Sus philippensis,
Sus verrucosus,
Spring viremia of carp virus,
Swartzia polyphylla,
Swertia bimaculata,
Swertia perennis,
Swiftia pacifica,
Syagrus romanzoffiana,
Syconycteris australis,
Sylvilagus aquaticus,
Sylvilagus audubonii,
Sylvia borin,
Sylvilagus floridanus,
Sylvisorex granti,
Sylvicapra grimmia,
Sylvirana guentheri,
Sylvisorex howelli,
Sylvisorex johnstoni,
Sylvisorex lunaris,
Sylvilagus nuttallii,
Sylvilagus obscurus,
Sylvisorex ollula,
Sylvilagus palustris,
Sylvirana spinulosa,
Sylvilagus transitionalis,
Symphysodon aequifasciata,
Symphoricarpos albus,
Symposiachrus axillaris,
Sympetrum corruptum,
Symphyotrichum cordifolium,
Sympetrum danae,
Symphysodon discus,
Symplocarpus foetidus,
Sympetrum illotum,
Sympetrum internum,
Symphodus melops,
Sympetrum obtrusum,
Symphytum officinale,
Symphyotrichum oblongifolium,
Symphoricarpos orbiculatus,
Symploce pallens,
Symsagittifera roscoffensis,
Symbiobacterium sp. (strain SC-1),
Sympiesis sericeicornis,
Sympetrum striolatum,
Symphyotrichum tenuifolium,
Symbiobacterium thermophilum (strain T / IAM 14863),
Symbiobacterium thermophilum,
Syntrophotalea acetylenica,
Synthliboramphus antiquus,
Syntrophus aciditrophicus (strain SB),
Synagrops bellus,
Synalpheus brooksi,
Synaptomys borealis,
Syntheosciurus brochus,
Syntrophotalea carbinolica (strain DSM 2380 / NBRC 103641 / GraBd1),
Syncerus caffer,
Syntrophotalea carbinolica,
Synemon collecta,
Synaptomys cooperi,
Synthliboramphus craveri,
Synanthedon culiciformis,
Synsepalum dulcificum,
Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805),
Synechococcus elongatus,
Synanthedon exitiosa,
Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB),
Synodus foetens,
Synodontis frontosus,
Syntrophobotulus glycolicus (strain DSM 8271 / FlGlyR),
Synanceia horrida,
Synthliboramphus hypoleucus,
Synodus intermedius,
Synechococcus sp. (strain JA-3-3Ab),
Synechococcus sp. (strain JA-2-3B'a(2-13)),
Synaphobranchus kaupii,
Synechococcus leopoliensis,
Syntrophothermus lipocalidus (strain DSM 12680 / TGB-C1),
Synbranchus marmoratus,
Synalpheus minus,
Synedrella nodiflora,
Synechococcus sp. (strain PCC 6716),
Synechococcus sp. (strain ATCC 27167 / PCC 6312),
Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),
Synalpheus paraneptunus,
Synanthedon pictipes,
Syntrophomonas palmitatica (strain DSM 18709 / JCM 14374 / NBRC 102128 / MPA),
Synemon plana,
Synechococcus sp. (strain WH7805),
Synechococcus sp. (strain WH7803),
Synechococcus sp. (strain WH8020),
Synechococcus sp. (strain WH8103),
Synechococcus sp. (strain RCC307),
Syncephalastrum racemosum,
Synalpheus regalis,
Syntrichia ruralis,
Synechococcus sp. (strain CC9311),
Synechococcus sp. (strain ATCC 29403 / PCC 7335),
Synechococcus sp. (strain CC9902),
Synechococcus sp. (strain CC9605),
Synanthedon spheciformis,
Synanthedon scitula,
Synechococcus sp.,
Synoicum turgens,
Synergus umbraculus,
Synodus variegatus,
Synanceia verrucosa,
Synanthedon vespiformis,
Synthliboramphus wumizusume,
Syntrophomonas wolfei subsp. wolfei (strain DSM 2245B / Goettingen),
Synechocystis sp. (strain PCC 6701),
Synechocystis sp. (strain PCC 6803 / Kazusa),
Synechocystis sp. (strain PCC 6714),
Synechocystis sp. (strain PCC 6803 / GT-S),
Sypheotides indica,
Syphacia obvelata,
Syrmaticus ellioti,
Syringa emodi,
Syrmaticus humiae,
Syrmaticus mikado,
Syrmaticus reevesii,
Syrmaticus soemmerringii,
Syringa vulgaris,
Systolederus spicupennis,
Syzygium anisatum,
Syzygium aqueum,
Syzygium australe,
Syzygium cumini,
Syzygium jambos,
Syzygium samarangense,
Syzygium smithii,
Tabanus atratus,
Tabanus bromius,
Tabebuia chrysotricha,
Tabernaemontana divaricata,
Tabebuia heterophylla,
Tabanus rufofrater,
Tachyglossus aculeatus aculeatus,
Tachyglossus aculeatus,
Tachycineta bicolor,
Tacca chantrieri,
Tachycineta cyaneoviridis,
Tachybaptus dominicus,
Tachysurus eupogon,
Tachycineta euchrysea,
Tachysurus fulvidraco,
Tachypleus gigas,
Tachigali melinonii,
Tachybaptus novaehollandiae,
Tachigali paniculata,
Tachybaptus ruficollis,
Tachycnemis seychellensis,
Tachyoryctes splendens,
Tachycineta thalassina,
Tachypleus tridentatus,
Tachysurus ussuriensis,
Tachysurus vachellii,
Tachigali versicolor,
Tadarida brasiliensis,
Tadorna ferruginea,
Tadarida insignis,
Tadorna radjah,
Tadorna tadornoides,
Tadorna tadorna,
Tadarida teniotis,
Taenia asiatica,
Taenaris catops,
Taeniopoda eques,
Taeniopygia guttata,
Taeniothrips inconsequens,
Taenidia integerrima,
Taeniura lymma,
Taeniurops meyeni,
Taenia multiceps,
Taenia ovis,
Taenia saginata,
Taenia solium,
Taenianotus triacanthus,
Tagetes campanulata,
Tagetes lucida,
Tagetes minuta,
Tagosodes orizicolus,
Tagetes patula,
Taiwanofungus camphoratus,
Taiwania cryptomerioides,
Takifugu niphobles,
Takifugu obscurus,
Takifugu pardalis,
Takifugu rubripes,
Talpa altaica,
Talpa caeca,
Talaromyces emersonii,
Talpa europaea,
Talaromyces flavus,
Talinum fruticosum,
Talaromyces funiculosus,
Talaromyces islandicus,
Talaromyces marneffei,
Talaromyces minioluteus,
Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333),
Talpa occidentalis,
Talinum paniculatum,
Talaromyces pinophilus,
Talaromyces purpureogenus,
Talpa romana,
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006),
Talaromyces thermophilus,
Talipariti tiliaceum,
Talaromyces variabilis,
Talaromyces verruculosus,
Talaromyces wortmannii,
Tamias amoenus,
Tamias bulleri,
Tamias canipes,
Tamias cinereicollis,
Tamias dorsalis,
Tamias durangae,
Tamiasciurus douglasii,
Tamarix gallica,
Tamiasciurus hudsonicus,
Tamiasciurus mearnsi,
Tamandua mexicana,
Tamias minimus,
Tamias merriami,
Tamias obscurus,
Tamias ochrogenys,
Tamias panamintinus,
Tamias palmeri,
Tamias quadrimaculatus,
Tamias quadrivittatus,
Tamias rufus,
Tamias ruficaudus,
Tamias senex,
Tamias sibiricus,
Tamias sonomae,
Tamias speciosus,
Tamias siskiyou,
Tamias striatus,
Tamiops swinhoei,
Tamolanica tamolana,
Tamandua tetradactyla,
Tamias townsendii,
Tamias umbrinus,
Tamarillo mosaic virus,
Tanichthys albonubes,
Tangara cayana,
Tangara chilensis,
Tanacetum cinerariifolium,
Tangara cyanocephala,
Tangara desmaresti,
Tantalophis discolor,
Tannerella forsythia (strain ATCC 43037 / JCM 10827 / CCUG 21028 A / KCTC 5666 / FDC 338),
Tangara florida,
Tannerella forsythia,
Tangara fastuosa,
Tangara heinei,
Tanganicodus irsacae,
Tangara johannae,
Tanaecia julii,
Tanakia koreensis,
Tangara larvata,
Tanakia limbata,
Tanystylum orbiculare,
Tanypteryx pryeri,
Tanytarsus recurvatus,
Tantilla relicta,
Tangara seledon,
Tanacetum vulgare,
Tapeinochilos ananassae,
Tapirus bairdii,
Taphrina deformans (strain PYCC 5710 / ATCC 11124 / CBS 356.35 / IMI 108563 / JCM 9778 / NBRC 8474),
Taphozous georgianus,
Tapirus indicus,
Taphozous mauritianus,
Taphozous melanopogon,
Taphozous nudiventris,
Tapinella panuoides,
Tapirus pinchaque,
Tapecomys primus,
Tapirus terrestris,
Tarsomys apoensis,
Taractes asper,
Tarachodes bispinosus,
Tarentola caboverdiana,
Tarentola chazaliae,
Tarsiger cyanurus,
Tagetes erecta,
Taricha granulosa,
Taraxacum kok-saghyz,
Tarentola mauritanica,
Taraxacum officinale,
Tarsipes rostratus,
Taricha sierrae,
Taricha torosa,
Tasmannia lanceolata,
Tasmacetus shepherdi,
Tatumella citrea,
Taterillus emini,
Tatera indica,
Taurulus bubalis,
Tauraco corythaix,
Taurotragus derbianus,
Tauraco erythrolophus,
Tauraco hartlaubi,
Tauraco leucolophus,
Tauraco leucotis,
Taumantis sigiana,
Taxus baccata,
Taxus brevifolia,
Taxus canadensis,
Taxus chinensis,
Toxostoma curvirostre,
Taxus cuspidata,
Taxodium distichum,
Taxidea taxus,
Taxus wallichiana var. mairei,
Taylorella asinigenitalis (strain MCE3),
Taylorella equigenitalis (strain MCE9),
Tayassu pecari,
Tecticornia australasica,
Tecomaria capensis,
Tecoma stans,
Tedania ignis,
Tedania klausi,
Tegenaria atrica,
Tegula brunnea,
Tegenaria domestica,
Tegula funebralis,
Tegillarca granosa,
Tegenaria parietina,
Tegula pfeifferi,
Telmatobius bolivianus,
Telespiza cantans,
Telchin cacica,
Teladorsagia circumcincta,
Teladorsagia davtiani,
Telescopus dhara,
Teleopsis dalmanni,
Telescopus fallax,
